"Name","Start_Date","End_Date","X","Y"
"Public Housing Development",2017-10-01,2021-03-31,103.8710837,1.388510266
"Public Housing Development",2017-10-01,2020-12-31,103.8296288,1.448429884
"Public Housing Development",2017-10-01,2021-12-31,103.8531854,1.427404174
"Public Housing Development",2017-10-01,2020-12-31,103.852978,1.428138713
"Public Housing Development",2015-10-01,2020-09-30,103.8120246,1.296142689
"Public Housing Development",2015-07-01,2020-12-31,103.8065906,1.296690453
"Public Housing Development",2015-10-01,2020-12-31,103.8045964,1.298053356
"Public Housing Development",2017-10-01,2021-06-30,103.8883429,1.310012812
"Public Housing Development",2017-10-01,2020-12-31,103.8855494,1.309761646
"Public Housing Development",2017-10-01,2020-12-31,103.7996394,1.446474249
"Public Housing Development",2017-10-01,2021-09-30,103.9062905,1.419450384
"Public Housing Development",2017-07-01,2021-06-30,103.9202135,1.397841652
"Public Housing Development",2017-07-01,2020-09-30,103.9307604,1.354492565
"Public Housing Development",2017-07-01,2020-09-30,103.9300388,1.353173185
"Public Housing Development",2017-07-01,2021-12-31,103.8718055,1.340180036
"Public Housing Development",2017-04-01,2021-09-30,103.8718696,1.341882663
"Public Housing Development",2017-04-01,2021-09-30,103.9058815,1.418046757
"Public Housing Development",2015-10-01,2020-06-30,103.7641747,1.312982318
"Public Housing Development",2017-07-01,2021-06-30,103.9279003,1.324524646
"Public Housing Development",2017-04-01,2021-06-30,103.8730427,1.311597428
"Public Housing Development",2017-04-01,2021-03-31,103.9468497,1.31828271
"Public Housing Development",2017-04-01,2021-03-31,103.921434,1.399061006
"Public Housing Development",2017-04-01,2020-09-30,103.891984,1.403295747
"Public Housing Development",2017-04-01,2020-06-30,103.9257077,1.329892319
"Public Housing Development",2017-01-01,2021-03-31,103.9400063,1.361932044
"Public Housing Development",2017-01-01,2020-03-31,103.8509169,1.429472509
"Public Housing Development",2017-01-01,2021-12-31,103.7633201,1.388621294
"Public Housing Development",2016-10-01,2021-09-30,103.76174,1.387481531
"Public Housing Development",2016-10-01,2021-06-30,103.7609544,1.388719978
"Public Housing Development",2016-10-01,2020-09-30,103.8398939,1.368314106
"Public Housing Development",2016-10-01,2020-06-30,103.9327246,1.32985205
"Public Housing Development",2016-07-01,2020-12-31,103.8727576,1.334620292
"Public Housing Development",2016-07-01,2020-06-30,103.742535,1.356886196
"Public Housing Development",2016-07-01,2020-03-31,103.8852328,1.393549845
"Public Housing Development",2016-04-01,2020-12-31,103.9021404,1.418473307
"Public Housing Development",2016-04-01,2020-12-31,103.9002466,1.416962404
"Public Housing Development",2016-04-01,2020-09-30,103.904532,1.419547348
"Public Housing Development",2016-07-01,2020-09-30,103.8947899,1.362713992
"Public Housing Development",2016-04-01,2020-06-30,103.8712375,1.336243843
"Public Housing Development",2016-04-01,2020-06-30,103.758538,1.379193388
"Public Housing Development",2016-01-01,2020-06-30,103.9030113,1.417539494
"Public Housing Development",2016-01-01,2020-06-30,103.9012879,1.41609841
"Road Works",2017-10-19,2020-06-30,103.7770709,1.435230732
"Road Works",2019-07-19,2020-09-30,103.9390546,1.354833511
"Road Works",2018-04-02,2021-12-31,103.7645607,1.300360036
"Road Works",2019-06-28,2020-12-31,103.7851768,1.438285538
"Road Works",2018-08-20,2020-09-30,103.7349306,1.357881448
"Road Works",2018-01-02,2020-12-31,103.8332959,1.451024254
"Road Works",2019-07-05,2021-06-30,103.8594907,1.333077826
"Road Works",2018-05-07,2020-06-30,103.9118368,1.419703903
"Road Works",2016-12-05,2020-09-30,103.7619633,1.388158644
"Road Works",2019-07-23,2021-09-30,103.879811,1.340794976
"Road Works",2018-06-13,2020-09-30,103.8734119,1.314236822
"Road Works",2018-08-29,2020-06-30,103.8748019,1.336232995
"Road Works",2019-07-30,2021-12-31,103.8580875,1.319447009
"Road Works",2017-03-30,2020-06-30,103.9476537,1.318963671
"Road Works",2017-08-28,2021-09-30,103.7614985,1.322678731
"Road Works",2018-01-02,2020-03-31,103.9415873,1.366651806
"Road Works",2018-02-26,2020-12-31,103.8059547,1.297985498
"Road Works",2018-05-21,2020-09-30,103.9437948,1.362896734
"Road Works",2015-05-04,2020-09-30,103.9372332,1.360406657
"Road Works",2018-07-04,2020-12-31,103.8483686,1.431287528
"Road Works",2018-07-10,2021-12-31,103.937213,1.341844154
"Cycling Path Works",2018-05-07,2020-06-30,103.9118114,1.419728207
"Cycling Path Works",2017-03-30,2020-06-30,103.9474373,1.319086153
"Cycling Path Works",2018-07-10,2021-12-31,103.9374316,1.341660363
"Cycling Path Works",2018-05-21,2020-09-30,103.9424784,1.362006103
"Cycling Path Works",2019-07-30,2021-12-31,103.8577899,1.318912843
"Cycling Path Works",2019-06-28,2020-12-31,103.7842542,1.438091358
"Cycling Path Works",2016-12-05,2020-09-30,103.761236,1.38813469
"Cycling Path Works",2018-08-20,2020-09-30,103.735298,1.357909618
"Cycling Path Works",2019-07-19,2020-09-30,103.9391682,1.354980575
"Cycling Path Works",2018-06-13,2020-09-30,103.8736859,1.314069327
"Cycling Path Works",2019-07-05,2021-06-30,103.8595995,1.332935961
"Cycling Path Works",2018-01-02,2020-03-31,103.9408413,1.365645335
"Cycling Path Works",2018-07-04,2020-12-31,103.8460222,1.431522685
"Cycling Path Works",2019-07-23,2021-09-30,103.879645,1.340833605
